Mail Text,Label
Final Reminder: Move 500kg of urgent cargo from TX to NV for only $100. Immediate payment required!,spam
Transport Request: 800kg of furniture from IL to CA for $600. Payment due upon delivery.,not spam
"Freight Inquiry: 300kg of textiles from NY to TX, pricing at $350. Standard payment terms apply.",not spam
Quick Transport Offer: 1000kg of goods from FL to WA for just $200! Pay immediately to reserve!,spam
Transport Needed: 700kg of machinery from TX to NV for $500. Payment is due at delivery.,not spam
Last Chance! 200kg of electronics from CA to TX for just $100. Confirm payment today!,spam
Transport Inquiry: 1 ton of goods from NY to TX at $900. Standard payment methods accepted.,not spam
Urgent Request: Ship 500kg of items from IL to WA for only $450! Pay now to ensure transport!,spam
Request for Quote: 300kg of textiles from TX to FL for $250. Payment terms are flexible.,not spam
Shipping Needed: 1000kg of fragile cargo from WA to NY for $800. Pay via bank transfer!,spam
Transport Request: 800kg of machinery from CA to TX for $600. Standard payment 30 days post delivery.,not spam
Immediate Shipping Required: 150kg of electronics from FL to NY for just $100! Confirm payment now!,spam
Freight Transport Needed: 1 ton of goods from NV to IL for $750. Payment terms upon delivery.,not spam
Urgent! Move 250kg of products from TX to WA for only $50. Act now before it’s too late!,spam
"Transport Inquiry: 500kg of food items from CA to TX, $400. Standard payment terms apply.",not spam
Quick Transport Needed: 300kg of furniture from NY to FL for just $200! Pay today to secure!,spam
Final Offer: Ship 400kg of unknown goods from CA to TX at a price of $99! Pay immediately!,spam
"Request for Transport: 1 ton of machinery from FL to NV, costing $850. Payment due at delivery.",not spam
Shipping Needed: 200kg of textiles from WA to CA for $300. Payment terms are flexible.,not spam
Urgent Transport Opportunity: 600kg of electronics from TX to FL for $150! Pay now!,spam
Transport Request: 500kg of goods from IL to CA for $400. Standard payment upon delivery.,not spam
Immediate Shipping Offer: 1 ton of cargo from FL to NY for only $50! Act fast!,spam
Subject: Transport Request for 10 Tons of Electronics\nBody: We need to transport 10 tons of electronics from New York to Los Angeles. Estimated price: $1500. Standard payment terms apply. Please confirm availability.,not spam
"Subject: Urgent Cargo Transport Needed!\nBody: We have a rare opportunity to transport 5 crates of luxury watches for just $300! Act fast, this deal won't last!  Respond ASAP!",spam
Subject: Transporting Furniture from Chicago to Miami\nBody: Looking to move furniture weighing 2 tons from Chicago to Miami. We are willing to pay $1200 and would like to set up payment via credit card. Please advise on available dates.,not spam
Subject: Incredible Deal: Shipping Offer!\nBody: Limited time offer! Ship 3 tons of goods from anywhere to anywhere for only $99! This offer is only valid for the next hour! Contact us now for bank details!,spam
Subject: Request for Transport Services\nBody: We need to ship 1 ton of machinery parts from Dallas to Seattle. We can pay $800 and are open to payment upon delivery. Let me know your rates and availability.,not spam
"Subject: Last Chance to Save on Shipping!\nBody: Don't miss out! Ship any cargo for just $50! This is a once-in-a-lifetime offer, but you must act now! Payments to offshore accounts only. Hurry!",spam
Subject: Transport of 500 kg of Food Items\nBody: Please provide a quote for transporting 500 kg of food from San Francisco to Denver. Our budget is $900 with standard payment terms. Thank you!,not spam
Subject: Special Shipping Rates Just for You!\nBody: We're offering an exclusive rate of $49 for shipping anything! Urgent response required. Payment through untraceable methods only! Act fast!,spam
"Subject: Cargo Transport Request - 1,000 kg of Medical Supplies\nBody: We need to transport 1,000 kg of medical supplies from Houston to Boston for $2000. Preferred payment via wire transfer. Please confirm your service availability.",not spam
Subject: Final Hours to Claim Your Shipping Discount!\nBody: Limited time only! Ship any goods for just $75! This offer expires in 5 minutes. Act now! Payment details are obscure!,spam
"Subject: Request for Freight Transport\nBody: Shipping 3 tons of industrial equipment from Atlanta to Orlando. Negotiable price around $1750, payment upon delivery preferred. Looking forward to your response.",not spam
Subject: Amazing Discount on Transport Services!\nBody: Hurry! Ship anything for $25! This offer ends today! Payments must go to foreign accounts only! Don't miss out!,spam
Subject: Transport for 2 Tons of Building Materials\nBody: Need transport for 2 tons of building materials from Portland to San Diego. We can pay roughly $1300. Payment terms are flexible. Please let me know your quote.,not spam
Subject: Urgent: Limited Time Shipping Offer!\nBody: Incredible deal! Transport anything for just $10! Act now or lose out! Payment methods are secretive!,spam
Subject: Inquiry: Transport of 1 Ton of Electronics\nBody: Seeking transport for 1 ton of electronics from Miami to New York. Budget: $1000. Standard payment terms apply. Please confirm your availability.,not spam
Subject: Last Minute Shipping Deals!\nBody: Urgent! Ship 4 tons of furniture for only $150! This is a limited time offer! Payment only via cryptocurrency. Act quickly!,spam
Subject: Transport Request for 3 Tons of Books\nBody: We need to transport 3 tons of books from Philadelphia to Boston. Willing to pay $1200 with normal payment terms. Please provide a quote.,not spam
Subject: Shipping Offer: Act Fast!\nBody: Limited time! Ship your cargo for just $100! Only valid for the next hour! Payment to unverified accounts only!,spam
Subject: Transport of 2 Tons of Apparel\nBody: Requesting transport for 2 tons of apparel from Los Angeles to New York. Estimated cost is $1400. Payment terms are standard. Please confirm service.,not spam
Subject: Urgent! Shipping Discount Ends Soon!\nBody: Act now! Ship anything for just $1! This deal won't last! Payment must be in cash to a private account!,spam
Subject: Transport Needed for 1 Ton of Artwork\nBody: I need to transport 1 ton of valuable artwork from Seattle to New York. Our budget is $3000 with payment due upon delivery. Please get back to me.,not spam
Subject: Shipping Offer of a Lifetime!\nBody: Get your cargo shipped for only $10! Urgent response needed! Payments through untraceable methods only!,spam
Subject: Freight Transport Request - 3 Tons of Machinery\nBody: Looking for transport services for 3 tons of machinery from Denver to Chicago. Price estimate is $2200 with normal payment terms. Please reply soon!,not spam
Subject: Shocking Shipping Offer: Don't Miss Out!\nBody: Ship anything for just $5! This deal is for a limited time only! Payments via offshore accounts only!,spam
"Subject: Transport Request for 2 Tons of Paper\nBody: We need to transport 2 tons of paper from Boston to Atlanta. Total cost can be $850, standard payment terms apply. Kindly confirm availability.",not spam
Subject: Act Now! Unbelievable Shipping Rates!\nBody: Hurry! Ship any cargo for just $20! This limited offer is about to expire! Payment must be made through untraceable methods only!,spam
"Subject: Inquiry: 1,500 kg of Steel Transport\nBody: Requesting quotes for transporting 1,500 kg of steel from San Francisco to New York. Estimated cost: $1800 with standard payment terms. Please advise.",not spam
Subject: Your Chance to Get Cheap Shipping!\nBody: Incredible offer! Ship anything for $15! Act now! Payments must go through foreign accounts!,spam
Subject: Transport Request for 1 Ton of Organic Produce\nBody: We need transportation for 1 ton of organic produce from Portland to Austin. Budget is $950 with regular payment options. Looking forward to your reply.,not spam
Subject: Urgent Shipping Opportunity - Limited Time!\nBody: Last chance! Ship anything for $30! This offer is only valid for the next 30 minutes! Payment details are vague!,spam
Subject: Transport of 2 Tons of Electronics\nBody: Requesting quote for 2 tons of electronics from Miami to Seattle. Willing to pay $1600 with standard payment terms. Please confirm soon.,not spam
Subject: Shipping Alert: Huge Discounts!\nBody: Don't miss out! Ship your goods for only $50! This offer is valid for the next hour! Payment through obscure channels only!,spam
"Subject: Freight Request for 1,000 kg of Clothing\nBody: Looking to transport 1,000 kg of clothing from Los Angeles to Chicago. Estimated price is $1100 with normal payment terms. Please reply with availability.",not spam
Subject: Immediate Action Required for Shipping Discounts!\nBody: Limited time only! Ship anything for $25! Act fast! Payment must be made via untraceable methods!,spam
Subject: Request for Transport of 3 Tons of Chemicals\nBody: We need to transport 3 tons of chemicals from Houston to Baltimore. Price could be around $2500 with standard payment terms. Let me know your availability.,not spam
Subject: Shipping Deal of the Year!\nBody: Incredible offer! Ship any cargo for just $40! Act now! Payments to unverified accounts only!,spam
Subject: Transport Request for 1 Ton of Furniture\nBody: Requesting transport for 1 ton of furniture from Dallas to New York. Estimated cost is $900 with standard payment terms. Please confirm.,not spam
Subject: Final Hours for Huge Shipping Deals!\nBody: Hurry up! Ship anything for $5! Offer ends in 10 minutes! Payments must be made to offshore accounts only!,spam
Subject: Inquiry: Transport of 2 Tons of Medical Supplies\nBody: We need transport for 2 tons of medical supplies from Boston to Chicago. Estimated price is $2000 with standard payment terms. Please reply.,not spam
Subject: Unbelievable Shipping Offer Just for You!\nBody: Act fast! Ship anything for only $15! This offer expires in 20 minutes! Payment required in cash to a private account!,spam
Subject: Transport Request for 1 Ton of Art Supplies\nBody: We need to transport 1 ton of art supplies from San Francisco to Boston. Willing to pay $1200 with standard payment terms. Awaiting your confirmation.,not spam
Subject: Limited Time Shipping Discount!\nBody: Urgent! Ship anything for $10! This offer is only valid for the next hour! Payment must go through untraceable channels!,spam
Subject: Request for Transport - 250 kg of Electronics\nBody: Please provide a quote for transporting 250 kg of electronics from Miami to Dallas. Our budget is $600 with standard payment terms. Thank you!,not spam
Subject: Incredible Shipping Opportunity - Don't Wait!\nBody: Limited time offer! Ship anything for just $25! This deal is valid for the next hour only! Payments are to offshore accounts only!,spam
Subject: Transport of 500 kg of Textiles\nBody: Need transport for 500 kg of textiles from New York to Detroit. Estimated cost is $700 with standard payment terms. Please confirm your availability.,not spam
Subject: Final Call: Unbelievable Shipping Rates!\nBody: Urgent! Ship any cargo for just $1! Offer valid only for the next 30 minutes! Payment must be made to untraceable accounts!,spam
Subject: Transport Request for 4 Tons of Aggregates\nBody: Seeking transport for 4 tons of aggregates from New York to Chicago. We can pay $1800 with standard payment terms. Please respond promptly.,not spam
Subject: Shipping Offer You Can't Refuse!\nBody: Huge discount! Ship anything for only $5! This offer is valid for the next 15 minutes! Payment details are vague!,spam
Subject: Inquiry for Transport of 750 kg of Equipment\nBody: Need a quote for transporting 750 kg of equipment from Atlanta to Boston. Estimated cost: $950 with normal payment terms. Awaiting your response.,not spam
Subject: Act Now! Shipping Discounts Ending Soon!\nBody: Incredible deal! Ship anything for just $10! This offer lasts only for the next 20 minutes! Payments must be made to obscure accounts!,spam
"Subject: Transport Request for 2 Tons of Electronics\nBody: We need to transport 2 tons of electronics from Los Angeles to San Francisco. Our budget is $1500, payment terms are standard. Please confirm availability.",not spam
Subject: Last Chance for Amazing Shipping Rates!\nBody: Don't miss out! Ship anything for just $15! This deal expires in 5 minutes! Payments must go through untraceable channels!,spam
Subject: Transport Request for 1 Ton of Books\nBody: Looking to transport 1 ton of books from Chicago to New York. Estimated price: $800 with standard payment terms. Please advise on availability.,not spam
Subject: Urgent Shipping Offer - Limited Time!\nBody: Act now! Ship anything for only $20! This offer is valid for the next hour! Payment details are vague!,spam
Request for Transport: 500kg of electronics from Los Angeles to Chicago. Please quote your best price. Payment will be made via bank transfer within 30 days after delivery.,not spam
Transport needed for 200 boxes of textiles from New York to Miami. Weight approx. 1000 kg. Could you send me your rates? Payment terms are standard net 30.,not spam
Urgent: Need a quote for moving 1 ton of machinery from Houston to Atlanta. Please provide pricing and payment details. Looking forward to your prompt response.,not spam
Transport inquiry for 300kg of perishable goods from Seattle to San Francisco. Can you provide the best price? Payment will be processed upon delivery.,not spam
Request for cargo transport: 750kg of furniture from Denver to Boston. Please send me a quote and standard payment terms. Thank you!,not spam
"Send urgently: 1500kg of books from San Jose to San Diego. Best price needed ASAP, and payment can be made upon pickup. Awaiting your reply!",not spam
"Transport request: 50 boxes of fragile items from Orlando to Dallas, weight around 400kg. Please provide your rates. Payment is via invoice after delivery.",not spam
"Need quick transport for 2 tons of steel from Philadelphia to Baltimore. Please quote your best price, payment to be made in cash upon arrival.",not spam
Request for transport: 1 ton of electronics from San Francisco to New York. Kindly provide pricing and payment options. Looking forward to your response.,not spam
Transport needed: 600kg of medical supplies from Miami to Atlanta. Please quote your best price and standard payment terms. Thank you!,not spam
"Special offer: Get your cargo transported for only $99! Limited time only, don't miss out!",spam
Act now! Ship your 500kg shipment for just $49 from anywhere to anywhere! Payment required upfront. Hurry!,spam
Final chance to ship your goods! Only $199 for fast delivery! Send payment immediately to secure your spot!,spam
Unbelievable deal! 1000kg of cargo transport for just $79! Pay now and receive a bonus gift! Limited availability!,spam
Urgent shipping needed for your cargo! We can do it for $150! Send payment details now to confirm!,spam
Your transport request can be completed for an unbelievable $300! Confirm payment ASAP to avoid missing this offer!,spam
Don't miss out! Ship 300kg of your items for just $89! Limited availability! Send payment now!,spam
Quick decision required! Shocking price of $99 for any transport! Provide your bank details to proceed!,spam
Super deal on transport! Just $120 for fast delivery! Terms are simple: pay and we handle it!,spam
Limited offer: $150 for any transport service! Pay now to secure this rate!,spam
"Need transport? We can handle 100kg for just $50! No details required, just send your payment info!",spam
Transport request: 250kg of unknown goods from an unspecified origin to an unspecified destination. Just pay $199 to confirm!,spam
Need urgent transport? Your cargo can be shipped for only $199! Payment by wire transfer only!,spam
"This is it! Ship your goods for only $75! Act fast, this won't last! Payment terms unclear!",spam
Urgent request for transportation! We can do it for $60! Just send your payment info to get started!,spam
Get your cargo shipped for a mere $45! Offer valid for today only! Pay now!,spam
"Transport for 500kg available at $99! Act quickly, payment must be immediate!",spam
"Shipping request: 1,000kg of goods from Los Angeles to New York for just $500! Payment via credit card only.",spam
Requesting quote for 3 tons of miscellaneous goods from Miami to Seattle. Please send your pricing and payment details. Thank you!,not spam
Transport inquiry for 150kg of electronics from Chicago to Houston. Please provide a detailed quote and payment options. Appreciate your help!,not spam
Transport needed for our 750kg shipment from Boston to Miami. Please send a competitive quote. Payment on delivery is preferred.,not spam
Need to transport 500kg of machinery from Detroit to Phoenix. Can you provide a rate? Payment in full upon delivery.,not spam
Request for transporting 250kg of personal items from San Francisco to Denver. Please quote your price and payment terms. Thank you!,not spam
Shipping inquiry for 1 ton of textiles from Atlanta to Miami. Kindly send me your rates and payment options. Looking forward to your reply!,not spam
Urgent transport needed for 600kg of food products from New York to Boston. Please provide pricing and payment terms. Thanks!,not spam
Transport request for 200kg of electronics from Chicago to New York. Please quote your best price and payment conditions. Thank you!,not spam
Request for transport: 800kg of household items from Philadelphia to Washington. Kindly provide pricing and payment terms. Appreciate your support!,not spam
Transport needed for 1 ton of machinery from San Diego to Dallas. Please send a detailed quote. Payment will be made via bank transfer.,not spam
Special limited offer for cargo transport! Only $99 for any shipment! Pay upfront and enjoy fast delivery!,spam
Your cargo can be shipped NOW for just $49! Urgent payment required to secure this unbelievable deal!,spam
Last chance to transport your goods for only $199! Quick payment needed to lock in this rate!,spam
Unmatched deal! Just $69 to ship 1000kg anywhere! Send your details and payment today!,spam
Immediate shipping available! Just $150 for your cargo! Act fast and send payment to confirm!,spam
"Don't delay! Ship your items for only $99! Limited time offer, pay now to secure your spot!",spam
Your shipping can be done for an unbelievable $89! Just confirm your payment immediately!,spam
"Massive deal on transport! Just $120 for any shipment! Hurry, offer ends soon!",spam
Urgent offer! Ship 300kg for only $199! Pay now and avoid missing out!,spam
Don't miss this! Get your shipment done for $80! Immediate payment required for this limited-time opportunity!,spam
Need transport? We can do 150kg for only $50! Just send your payment information now to confirm!,spam
Request for transport: 500kg of office supplies from Atlanta to New York. Please provide your rates and payment methods. Thank you!,not spam
Shipping inquiry for 1 ton of logistics materials from San Francisco to Chicago. Kindly send me your pricing and payment terms. Appreciate your assistance!,not spam
Transport needed for 250kg of machinery from Dallas to Boston. Please send a detailed quote and standard payment options. Thank you!,not spam
Request for transportation: 700kg of textiles from Miami to Los Angeles. Please provide your best quote and payment terms. Thank you!,not spam
Urgent shipping request for 400kg of perishables from New York to Chicago. Can you provide pricing and payment options?,not spam
Transport inquiry for 500kg of electronics from Seattle to Miami. Please provide a competitive quote and payment details. Thank you!,not spam
Need transport for 1 ton of furniture from Chicago to Dallas. Requesting your best price and payment terms. Appreciate your prompt support!,not spam
Transport request for 300kg of mixed goods from Boston to New York. Please provide your rates and payment options. Thank you!,not spam
Request for transport: 1 ton of machinery from San Francisco to Denver. Kindly provide pricing and payment details. Looking forward to your reply!,not spam
Shipping needed for 750kg of goods from Houston to Atlanta. Please quote your best price and payment terms. Thank you!,not spam
Request for transport: 200kg of electronics from Los Angeles to Miami. Please provide a detailed quote and payment information. Thank you!,not spam
Transport Request: Urgent Shipment Needed,not spam
"Request for Shipping: Electronics from NY to CA, 100kg, $500",not spam
"Please arrange transport for 200kg of furniture from Miami to Houston, $350 payment on delivery",not spam
"Import Request: 150kg of textiles from Vietnam to Los Angeles, pricing negotiable, payment via bank transfer",not spam
"Request for Transport: 500kg of industrial equipment from Chicago to Denver, $800 total, payment terms 30 days",not spam
"Shipping Inquiry: 300kg of perishables from Seattle to Atlanta, $600, payment upon receipt",not spam
"Transport Needed: 50kg of medical supplies from San Francisco to New York, $200, invoice due in 15 days",not spam
"Shipping Order: 120kg of books from Boston to Washington, $450 total with standard payment terms",not spam
"Request for Transport: 80kg of clothing from Dallas to Miami, $300, payment due upon delivery",not spam
"Transport Needed: 250kg of machinery from Toronto to Vancouver, $1000, payment via credit card",not spam
"Transport Required: Urgent shipment of electronics!, isolated offer of $200 for 50kg from anywhere!",spam
Quick Shipping Needed: Limited time deal! Only $99 for any shipment!,spam
Last Minute Transport Request! Send 300kg anywhere for just $1! Act fast!,spam
Immediate Transport Need: 150kg of goods for $50! Don't miss this!,spam
Urgent! 500kg shipment for only $300! Pay ASAP!,spam
Attention: Your transport could be $2000 off if you act NOW! Details inside!,spam
Hurry! 100kg shipment for $10! Limited time offer!,spam
Transport Alert: Get your cargo shipped for $5! Act before it’s too late!,spam
Exclusive Deal: 200kg shipment for $150 but you must pay in cryptocurrency!,spam
Flash Offer: Transport for $0.01 per kg! Limited slots available!,spam
Transport Inquiry: 300kg of electronics - $50? Confirm payment options!,spam
Transport Request: Moving 100kg of lab equipment from NY to CA - need your quickest quote!,not spam
"Request for Shipping: 250kg furniture from CA to TX, $400 standard rate, terms 30 days",not spam
"Transport Required: 100kg of medical equipment from LA to Seattle, $600 with invoice",not spam
"Need to ship 150kg of goods from Philly to Miami, $350, payment on delivery",not spam
"Request for Transport: 200kg of machinery from NY to TX, $800 payment on receipt",not spam
"Shipping Inquiry: 500kg of perishable items from Chicago to LA, $900 total, payment via check",not spam
"Request Transport: 50kg of documents from Boston to NYC, $150 payment due upon delivery",not spam
"Urgent Shipment Request: 300kg of textiles from India to NY, $1000, payment upon delivery",not spam
"Transport Needed: 100kg of books from Chicago to San Francisco, $400 payment within 30 days",not spam
"Transport Required: 150kg of office supplies from Houston to Dallas, $250 payment on delivery",not spam
"Request for Shipping: 75kg of electronics from Austin to Orlando, $200 total, invoice due in 15 days",not spam
"Shipping Request: Need a quote for 300kg of machinery from London to NY, $500",not spam
Last Chance: Get your shipment at $199! Only for today!,spam
Act Now! 100kg transport for just $1! Limited time offer!,spam
Urgent! Ship 200kg for only $50! Pay immediately!,spam
Don't Miss Out: Transport your 150kg goods for $100! Act fast!,spam
Immediate Transport Needed: 300kg for $10! Payment required within an hour!,spam
Hot Deal! Ship 50kg for just $5! Pay fast or lose it!,spam
"Your Cargo Needs Transport: 500kg for $200, payment via untraceable transfer!",spam
Special Offer! 100kg transport only $25! Pay before midnight!,spam
Quick Transport: 150kg for $75! Only valid for today!,spam
Exclusive: Ship 200kg for only $100 - terms unclear!,spam
"Transport Request: 300kg of textiles from NY to Boston, $400 payment due in 15 days",not spam
